method,lambda,mask_bits,fitness,auc,selected_count,selected_ratio,seconds,model_fits_so_far,final_cv_auc,final_cv_fitness,final_cv_seconds,final_cv_folds,run_dir,preset,seed,mode,device,rows,search_features
RandomSearch,0.2,000010000100010000000000010001000000001100000000000000010100100001000010000001000100100000000000001101010000100000000001001000100000010000000000000100,0.7805273254379471,0.8138606587712804,25,0.1666666666666666,2281.5740621000004,25010,0.8268099825118472,0.7934766491785139,8.414870199994766,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
GA,0.2,000000000000100000000011000000000000000110000101000000010000000000000000001000001001010000010000001000000000010000000000100000101100001000000000100000,0.8089096965210956,0.8369096965210956,21,0.14,735.0332983999979,34190,0.8492324327561072,0.8212324327561071,8.327796300000045,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
SA,0.2,000010000000000000000000000000100000000000000000001110000000000000000000011000001000010000000000001010000100010000000000000000111010001000000000100000,0.8123152603010116,0.837648593634345,19,0.1266666666666666,1523.3608480999974,55280,0.8450470237785529,0.8197136904452196,8.398041099993861,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
TopK_MI_19,0.2,111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6642094127806563,0.6895427461139896,19,0.1266666666666666,0.2916976999986218,55285,0.694617418796274,0.6692840854629407,7.623239900000044,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
TopK_MI_21,0.2,111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6605884529977794,0.6885884529977794,21,0.14,0.2947736000060104,55290,0.6962231923082142,0.6682231923082141,7.785718500002986,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
AllSearchFeatures,0.0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.8157390821613619,0.8157390821613619,150,1.0,0.7404386999987764,5,0.8520219084212736,0.8520219084212736,24.07420779997483,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
RandomSearch,0.0,001111100100000111010101111001111111100111110110101111111110011110101111110111111001011110000100011101111001111110111111001001010101001110111111010100,0.8214037749814953,0.8214037749814953,98,0.6533333333333333,2279.302340300012,25010,0.8501707711278395,0.8501707711278395,17.13470419999794,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
GA,0.0,101011000111111110000011101001100000110100101101111011001111000001011110000110100010001011101000010101101011111100101000100100110001010111010001010010,0.8241943005181348,0.8241943005181348,74,0.4933333333333333,858.3387217000127,33360,0.8451212619784542,0.8451212619784542,14.051007400004892,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
SA,0.0,011110000111110001110011101001110101111010011011000010000110110000111111111110110111111010101001110000010111110111111010011001110101001000011011010010,0.8243989637305699,0.8243989637305699,86,0.5733333333333334,2333.8114052000165,54275,0.848640597349997,0.848640597349997,15.359244299994316,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
TopK_MI_74,0.0,111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000,0.762283123612139,0.762283123612139,74,0.4933333333333333,0.490817199985031,54280,0.801212629951633,0.801212629951633,13.373375700000906,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
