method,lambda,mask_bits,fitness,auc,selected_count,selected_ratio,seconds,model_fits_so_far,final_cv_auc,final_cv_fitness,final_cv_seconds,final_cv_folds,run_dir,preset,seed,mode,device,rows,search_features
TopK_MI_86,0.0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000,0.7805347890451518,0.7805347890451518,86,0.5733333333333334,0.5391863999830093,54285,0.8177014893975117,0.8177014893975117,14.545449800003553,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
AllSearchFeatures,0.05,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7657390821613619,0.8157390821613619,150,1.0,0.7597751000139397,5,0.8520219084212736,0.8020219084212735,22.82164239999838,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
RandomSearch,0.05,000001000001001011000010001001010100000000000010100000010000001001011100100100111100011000110100100000000100000101001000000100110000011000010111110011,0.7986682704169751,0.8143349370836418,47,0.3133333333333333,2276.63308509998,25010,0.8405904456294019,0.8249237789627352,10.85366290001548,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
GA,0.05,001000110101100100000000011001000000000100100010101010110010000000000100000110101100001000000000101100010100000011000010010000100111000010000011011110,0.808504379471996,0.8238377128053294,46,0.3066666666666666,829.6636456999986,33940,0.8435178864659324,0.8281845531325991,10.684202700009337,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
SA,0.05,111101111111010000011000000001011000100011010110011011000100010011011001110110101101011011011111110010000101010101100010000111000001000001001011011111,0.7983486923266716,0.8230153589933383,74,0.4933333333333333,2253.4968489000166,55645,0.8450572518784221,0.8203905852117555,14.000937100005103,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
TopK_MI_46,0.05,111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7204769923513447,0.735810325684678,46,0.3066666666666666,0.3808922000171151,55650,0.7798256110807846,0.7644922777474513,10.491050699987682,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
TopK_MI_74,0.05,111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000,0.7376164569454724,0.762283123612139,74,0.4933333333333333,0.48268410001765,55655,0.801212629951633,0.7765459632849663,13.587635999982012,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
AllSearchFeatures,0.1,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.715739082161362,0.8157390821613619,150,1.0,0.7660073000006378,5,0.8520219084212736,0.7520219084212736,25.728929299977608,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
RandomSearch,0.1,101001010001000000100000001000010010101000010000010010000000000000011000000100000011000000000000000101100000001000001000101010001000000000001001011000,0.7886872070071552,0.8100205403404885,32,0.2133333333333333,2252.0909305000096,25010,0.8328619033195945,0.8115285699862612,10.03798329998972,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
GA,0.1,000110110001000000010000001000000000100100000101000000000100001100000000001110100110001000010000001000000000001010000010000000000101000000000001110110,0.7991225018504813,0.8211225018504813,33,0.22,771.1424221000052,34400,0.8389250094343501,0.8169250094343501,9.52939150002203,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
SA,0.1,000111000001010101010001011000100010000000010011010011010001000000011000000101100110001000010000010010101000011000111010000011010001001010001011110101,0.7874333209967926,0.822766654330126,53,0.3533333333333333,1938.7221266000124,55630,0.8419175886341064,0.806584255300773,11.427671799989184,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
TopK_MI_33,0.1,111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6727555514433754,0.6947555514433754,33,0.22,0.3524014999857172,55635,0.7205749462412747,0.6985749462412747,9.28231589999632,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
TopK_MI_53,0.1,111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7226992351344683,0.7580325684678016,53,0.3533333333333333,0.4146275999955833,55640,0.7888570665100063,0.753523733176673,11.274079199996777,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
AllSearchFeatures,0.2,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.615739082161362,0.8157390821613619,150,1.0,0.7504745000042021,5,0.8520219084212736,0.6520219084212735,22.643001199990977,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
RandomSearch,0.2,100010010000000000100000110010000010000000000010110000010001100000000000000110100010001000010000010000000000000000010001111000000000001000000001010000,0.7673077966938071,0.8059744633604737,29,0.1933333333333333,2293.478996799997,25010,0.8336795685132634,0.7950129018465968,9.170395699999062,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
GA,0.2,001010010000000000000000000101000000000000000000100000000010000100000000000100110010001000100000111000000011000100000000000000000001000000000001010000,0.7895607574636072,0.8202274241302738,23,0.1533333333333333,785.191718600021,34655,0.8394090173022493,0.8087423506355826,8.261330600013025,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
SA,0.2,000000000000010000000000000001000000000000000010000010000001000000000000000100100000000000000100000000000000000100000000000000100100000000001001010000,0.8001930668640512,0.818859733530718,14,0.0933333333333333,1568.950059499999,56005,0.8363267862768365,0.8176601196101698,7.378186899994034,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
TopK_MI_14,0.2,111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6640481741919565,0.6827148408586232,14,0.0933333333333333,0.3077479999919887,56010,0.6911165942306231,0.6724499275639564,7.615480700012995,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
TopK_MI_23,0.2,111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6522681963977301,0.6829348630643968,23,0.1533333333333333,0.3210922000289429,56015,0.6963623897836649,0.6656957231169983,7.915048700000625,5,results\run_20260615_080345,word_strict,2026,real,cpu,20000,150
